Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_13_01_pt5_2c_14Feb13_Leopard_12-12-34.mzML"	2013-02-15T05:46:19Z	0.272594	21.0433	25.0585	32.1425	1.43005	1.14769	5.06123	5941.09	0.518515	0.258068	0.11714	0.106277	0.244471	0.246633	0.252261	0.256635	0.24484	0.246671	0.252109	0.25638	1.17182	1.14902	4.35972	1.29934	0.794102	1.9812	2381	0.496257	2980	3493	4821	14274	2.98241	250	462	663	0.0248003	0.214376	0.269091	0.0846995	0.0191957	0.0056046	0.00385316	0.37838
"QC_Shew_13_01_pt5_2b_15Feb13_Leopard_12-12-34.mzML"	2013-02-15T22:46:38Z	0.326804	17.5225	20.1337	24.9676	1.22295	1.38094	3.12348	5940.85	0.378485	0.0766756	0.0560787	0.488761	0.220582	0.230713	0.250775	0.297929	0.220527	0.230717	0.25078	0.297976	1.1099	0.846274	2.8594	-nan	-nan	1.93957	2757	0.542646	2758	3957	5371	16542	3.27393	227.25	508	786	0.0935195	0.255894	0.246464	0.0975094	0.0288961	0.0111232	0.0140854	0.252509
"QC_Shew_13_02_1a_22Mar13_Leopard_12-12-33.mzML"	2013-03-22T15:40:53Z	0.331771	18.4042	20.8081	25.264	0.961176	1.11443	3.91312	5939.72	0.323051	0.151866	0.169537	0.355546	0.249042	0.228078	0.24573	0.27715	0.250996	0.227581	0.245042	0.276381	1.09179	0.754907	3.93283	0.773796	0.216655	0.470264	3031	0.591953	1809.5	2371	2967	18130	3.57365	250	466	646	0.0910645	0.265527	0.23144	0.0948704	0.0282405	0.00849421	0.0182019	0.262162
"QC_Shew_13_02_1a_23Mar13_Leopard_12-12-33.mzML"	2013-03-23T10:40:01Z	0.330259	18.397	20.9534	25.6761	1.03019	1.17016	3.41105	5939.14	0.314203	0.152347	0.162899	0.370551	0.254713	0.224791	0.242027	0.278469	0.261365	0.222801	0.23984	0.275994	1.21097	0.780396	3.84565	0.693143	0.261877	0.441624	2976	0.593294	1862.75	2526	3125	17674	3.5808	241	470	662	0.0768926	0.259251	0.253706	0.0999774	0.031685	0.010241	0.020765	0.247482
"QC_Shew_13_02_2a_23Mar13_Leopard_12-12-34.mzML"	2013-03-23T12:51:39Z	0.155018	19.2585	31.0116	41.7077	2.15995	0.991814	4.06892	1375.02	0.0249376	0.013164	0.266383	0.695515	0.256655	0.25143	0.247647	0.244268	0.220909	0.25606	0.263741	0.25929	0.75073	0.644667	5.14821	0.0347136	0.0451751	4.02188	564	0.450505	259	272	289	1903	1.93829	2	5	11	0.450867	0.0641093	0.00315292	0	0	0.000525486	0.375197	0.106148
"QC_Shew_13_01_pt5_2b_16Feb13_Leopard_12-12-34.mzML"	2013-02-16T13:37:26Z	0.336773	16.6995	18.9184	23.4582	1.00222	1.34974	3.23422	5941.75	0.524884	0.0656444	0.0438906	0.365581	0.247432	0.227784	0.246695	0.27809	0.247334	0.227804	0.246722	0.278139	1.13713	0.761351	2.7964	-nan	-nan	1.43028	2810	0.538515	2366.25	3481	5153	16860	3.24703	249	500	764	0.101008	0.278114	0.243179	0.0949585	0.0263345	0.00913405	0.0148873	0.232384
"QC_Shew_13_02_2a_21Mar13_Cheetah_13-03-02.mzML"	2013-03-21T14:54:02Z	0.20879	14.672	17.4983	22.6965	3.49404	1.39451	3.87321	4898.4	0.802178	0.0162463	0.0200782	0.161497	0.237853	0.232407	0.241743	0.287998	0.30304	0.318883	0.199893	0.178184	0.864852	1.03463	8.90375	0.105708	0.678803	7.47839	2516	0.652129	317	345	447	8214	3.15812	35	55	120	0.192841	0.0662284	0.0749939	0.0176528	0.0036523	0.00073046	0.138179	0.505722
"QC_Shew_13_01_pt5_2c_16Feb13_Leopard_12-12-34.mzML"	2013-02-16T17:37:57Z	0.333038	16.9504	19.2984	23.7222	0.968037	1.37446	2.9121	5940.94	0.593387	0.0433902	0.0442718	0.318951	0.247428	0.228028	0.247071	0.277472	0.247352	0.228016	0.247079	0.277553	1.08753	0.78082	2.86414	-nan	-nan	1.41268	2821	0.542975	2391	3532	5191	16926	3.27719	250.25	507	769	0.10286	0.280338	0.240458	0.0954153	0.0272362	0.00892119	0.0163654	0.228406
"QC_Shew_13_01_pt5_2c_15Feb13_Leopard_12-12-34.mzML"	2013-02-16T02:57:11Z	0.326159	17.4876	20.0464	24.8893	1.15866	1.38841	3.17841	5941.74	0.361774	0.081983	0.0578402	0.498403	0.220232	0.230539	0.250829	0.298401	0.220165	0.230526	0.250808	0.298501	1.18802	0.854575	2.87842	-nan	-nan	1.9579	2757	0.546233	2786	3971	5437	16541	3.27771	228	511	787	0.095762	0.253794	0.24666	0.0982407	0.0282329	0.00997521	0.0137235	0.253612
"QC_Shew_13_02_1c_22Mar13_Leopard_12-12-33.mzML"	2013-03-22T23:57:49Z	0.292683	17.8633	20.3301	24.6179	1.13949	1.03381	3.55319	5940.22	0.537754	0.0926506	0.103027	0.266569	0.272275	0.253379	0.220896	0.253451	0.408501	0.197593	0.18258	0.211327	6.2349	1.98413	4.23851	6.04734	1.97656	0.652979	2686	0.541944	289	2688.5	3240.75	13120	3.27298	13	257	612	0.14596	0.120046	0.255869	0.120046	0.0394817	0.013186	0.119207	0.186204
"QC_Shew_13_02_1b_22Mar13_Leopard_12-12-33.mzML"	2013-03-22T19:57:18Z	0.331502	19.0072	21.478	26.1045	0.996474	1.13608	3.61657	5940.52	0.302786	0.160107	0.173023	0.364084	0.244193	0.228754	0.245312	0.281741	0.248698	0.227345	0.243903	0.280054	1.05392	0.781957	3.78746	0.613132	0.225214	0.515583	3024	0.586842	1849	2490.5	3071	18021	3.5359	255	481	657	0.0804617	0.270795	0.24416	0.099939	0.0302425	0.00887853	0.0147051	0.250818
"QC_Shew_13_02_3b_19Mar13_Cheetah_12-09-03.mzML"	2013-03-20T04:31:25Z	0.233907	9.17287	10.7969	13.3716	0.793702	1.0727	4.76767	5937.95	0.136305	0.24363	0.307773	0.312293	0.256814	0.251346	0.247708	0.244131	0.134341	0.19742	0.320222	0.348017	0.777232	0.823833	4.23177	0.0484925	0.505534	2.70903	3451	0.656324	210	226	254	3604	2.25274	1	8	19	0.280522	0.00166482	0.000277469	0	0.000277469	0.000277469	0.455605	0.261376
"QC_Shew_13_02_1b_23Mar13_Leopard_12-12-33.mzML"	2013-03-23T14:05:05Z	0.323199	18.2896	20.8874	25.6241	0.997846	1.15482	3.63619	5939.24	0.298063	0.170833	0.168145	0.362958	0.245255	0.22741	0.24517	0.282164	0.246318	0.227079	0.244832	0.281771	0.985297	0.744727	3.94189	0.880634	0.264496	0.371516	3031	0.595556	1833	2517	3114.5	18156	3.58046	263	480	654	0.0778806	0.262943	0.248954	0.0980392	0.0294668	0.00925314	0.0146508	0.258813
"QC_Shew_13_02_2c_22Mar13_Leopard_12-12-34.mzML"	2013-03-23T01:58:07Z	0.303115	16.5715	18.9564	23.4545	1.48312	1.06776	3.43877	5941.29	0.509564	0.099601	0.108981	0.281854	0.276012	0.244198	0.222792	0.256998	0.416029	0.177817	0.187876	0.218278	6.53245	1.75888	4.05914	6.58536	1.52492	0.567841	2724	0.553892	287	2645	3133	13579	3.33725	83	290	628.5	0.132779	0.143899	0.266441	0.124015	0.0379999	0.0114883	0.100376	0.183003
"QC_Shew_13_02_1c_23Mar13_Leopard_12-12-33.mzML"	2013-03-23T18:52:29Z	0.326944	18.314	20.6347	25.5611	1.04258	1.11513	3.88593	5940.1	0.301755	0.163886	0.173039	0.361319	0.247916	0.226026	0.24351	0.282548	0.250854	0.225221	0.242482	0.281443	1.12432	0.743898	3.88722	0.957318	0.304009	0.370072	3014	0.595806	1860	2559.5	3182.5	18000	3.58295	249	467	651	0.0771667	0.265556	0.248333	0.0982222	0.0298889	0.00983333	0.0134444	0.257556
"QC_Shew_13_02_2a_22Mar13_Leopard_12-12-34.mzML"	2013-03-22T17:57:01Z	0.324654	17.722	20.4902	25.5097	0.977761	1.14617	3.83568	5940.16	0.323378	0.145142	0.160856	0.370624	0.248431	0.226717	0.244514	0.280338	0.25363	0.225155	0.242853	0.278362	1.15241	0.804328	3.76528	0.587597	0.296029	0.412697	3026	0.594683	1805.25	2382	2907	18013	3.58327	253	474	645	0.0925998	0.271693	0.244268	0.102259	0.0300894	0.00810526	0.0169322	0.234053
