Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_12_03_F_28Jan13_Leopard_12-12-44.mzML"	2013-01-28T19:32:36Z	0.302279	25.503	28.9423	35.0724	0.527932	0.591786	3.13975	3841.51	0.290813	0.168599	0.185575	0.355013	0.249898	0.238912	0.242541	0.268649	0.252235	0.238089	0.241795	0.267881	0.957449	0.709013	1.55176	0.320258	0.168705	0.183386	1162	0.320249	1416	1456	1489	11582	3.21235	483	665	854	0	0	0	0	0	0	0.0764117	0.923588
"QC_Shew_12_03_Run-01_16Jan13_Lion_12-10-03.mzML"	2013-01-16T16:59:57Z	0.23625	43.0841	50.6676	62.3763	0.927367	1.0126	4.03245	5941.5	0.724611	0.124766	0.0537921	0.0968309	0.180826	0.288144	0.283828	0.247202	0.253905	0.255573	0.25337	0.237152	0.929226	1.28709	4.24308	0.641788	1.13852	2.09625	1305	2.03286	1481	1535	1571	11382	2.31469	231	396	564	0	0	0	0	0	0	0.099631	0.900369
"QC_Shew_12_03_Run-02_16Jan13_Lion_12-10-04.mzML"	2013-01-16T19:38:18Z	0.24085	40.4844	47.3283	58.8823	0.716138	0.960565	5.65182	5939.74	0.879491	0.0278193	0.0172698	0.0754203	0.18193	0.284295	0.279649	0.254126	0.256361	0.255959	0.259573	0.228107	0.935341	1.1555	4.71734	0.548313	0.712356	3.58574	1302	2.14738	1491	1577	1605	11476	2.53776	235	358	528	0	0	0	0	0	0	0.0649181	0.935082
"QC_Shew_12_03_H_27Jan13_Leopard_12-12-27.mzML"	2013-01-27T22:10:00Z	0.30315	23.499	26.6135	32.2935	0.475911	0.536934	3.15212	3542.5	0.327143	0.176775	0.195974	0.300108	0.25802	0.243673	0.245449	0.252859	0.262176	0.242332	0.244018	0.251473	0.913838	0.609167	1.13495	0.245781	0.177583	0.228921	1092	0.319733	1379	1413	1445	10856	3.20632	514	699	878	0	0	0	0	0	0	0.0764554	0.923545
"QC_Shew_12_03_H_28Jan13_Leopard_12-12-44.mzML"	2013-01-28T22:16:27Z	0.306408	25.2738	28.6404	34.8791	0.550749	0.566445	3.13979	3877.69	0.299314	0.166704	0.183592	0.35039	0.256137	0.237005	0.240788	0.26607	0.251695	0.23837	0.242161	0.267774	0.962157	0.670068	1.36663	0.323269	0.170172	0.22817	1161	0.318864	1421	1462	1495	11563	3.1952	490	668	857	0	0	0	0	0	0	0.0767967	0.923203
"QC_Shew_12_03_Run-02_17Jan13_Rogue_12-10-04.mzML"	2013-01-18T00:12:23Z	0.233763	47.8324	55.3661	65.9943	0.862231	0.676427	2.69691	5941.07	0.481624	0.162995	0.157605	0.197776	0.219224	0.26068	0.254497	0.2656	0.28114	0.235457	0.23558	0.247823	1.75295	0.981009	2.51102	1.95837	0.375526	0.475071	1516	2.15518	1245.75	1374	1474.25	13796	2.55514	498	606	729.25	0	0	0	0	0	0	0.0472601	0.95274
"QC_Shew_12_03_Run-01_17Jan13_Rogue_12-10-03.mzML"	2013-01-17T21:54:04Z	0.230742	44.0286	51.167	61.264	0.574263	0.670476	2.46091	5941.17	0.32507	0.165751	0.175321	0.333857	0.202537	0.265798	0.263758	0.267907	0.251482	0.239075	0.239721	0.269722	1.19887	0.798149	2.41528	0.887552	0.213401	0.387276	1576	1.93642	1253	1453	1514	14124	2.54113	493.75	626.5	763	0	0	0	0	0	0	0.0510479	0.948952
"QC_Shew_12_03_Run-04_16Jan13_Lion_12-10-04.mzML"	2013-01-16T22:58:19Z	0.238288	50.3945	57.7515	67.1584	0.816162	0.74148	2.32042	5941.86	0.489294	0.163749	0.160358	0.186599	0.22006	0.261452	0.256485	0.262003	0.282405	0.235822	0.234221	0.247552	1.78386	0.89159	2.20972	2.07838	0.349311	0.389715	1524	2.15634	1296	1389	1471	13853	2.56001	488	594	714	0	0	0	0	0	0	0.0493034	0.950697
"QC_Shew_12_03_Run-05_16Jan13_Lion_12-10-03.mzML"	2013-01-17T00:38:20Z	0.239345	42.6489	49.9162	60.6877	1.50061	0.668549	2.70361	5943.06	0.447771	0.123016	0.148473	0.280741	0.212361	0.272074	0.246706	0.268859	0.293104	0.229943	0.226612	0.25034	2.28848	1.05836	2.3216	2.68326	0.322761	0.337407	1470	2.09051	1451	1494	1539	13303	2.54424	278	561	738	0	0	0	0	0	0	0.0744193	0.925581
"QC_Shew_12_03_Run-04_17Jan13_Rogue_12-10-04.mzML"	2013-01-18T03:32:22Z	0.236897	46.545	53.7985	63.6315	0.85722	0.751178	2.41758	5940.24	0.466041	0.17242	0.155544	0.205996	0.216863	0.26101	0.255095	0.267033	0.278203	0.235935	0.237102	0.248761	1.62503	0.974472	1.79077	1.74995	0.345279	0.516738	1520	2.15121	1233	1383.5	1493	13833	2.54787	498	606	728	0	0	0	0	0	0	0.0441697	0.95583
"QC_Shew_12_03_Run-03_17Jan13_Rogue_12-10-03.mzML"	2013-01-18T01:52:24Z	0.228206	43.2375	50.6564	60.6361	0.631383	0.67032	2.67211	5939.89	0.346065	0.161984	0.172515	0.319436	0.203401	0.261235	0.258721	0.276643	0.259474	0.23844	0.236625	0.265461	1.15097	0.845273	2.58239	1.4172	0.218372	0.445236	1550	2.07527	1273.25	1447.5	1497	13983	2.54511	502	623	752	0	0	0	0	0	0	0.0424802	0.95752
"QC_Shew_12_03_Run-03_16Jan13_Lion_12-10-03.mzML"	2013-01-16T21:18:17Z	0.226758	47.2122	55.0099	64.835	0.632539	0.649331	2.37135	5942.92	0.35475	0.161315	0.170283	0.313653	0.206803	0.266166	0.264884	0.262146	0.2647	0.237081	0.236421	0.261798	1.22967	0.808067	2.43073	1.71614	0.24171	0.258538	1585	2.19682	1322	1425	1484	13940	2.55645	487	616	745	0	0	0	0	0	0	0.0588953	0.941105
"QC_Shew_12_03_Run-05_17Jan13_Rogue_12-10-03.mzML"	2013-01-18T05:12:21Z	0.238357	40.1559	47.3863	56.7434	0.68086	0.712021	2.70225	5942.43	0.365422	0.153661	0.161743	0.319174	0.216159	0.254801	0.24925	0.27979	0.275314	0.230863	0.233103	0.260721	1.55094	0.938032	2.00783	1.70275	0.235197	0.419572	1510	2.06798	1377.25	1476	1517	13635	2.53898	440	606	752	0	0	0	0	0	0	0.0478181	0.952182
"QC_Shew_12_03_Run-06_16Jan13_Lion_12-10-04.mzML"	2013-01-17T02:18:21Z	0.232298	50.7788	58.2078	68.7886	0.925907	0.75126	2.17002	5943.13	0.513169	0.173609	0.15638	0.156842	0.207853	0.269484	0.258709	0.263953	0.28873	0.2355	0.233012	0.242758	1.88909	0.989387	2.07888	2.21181	0.390818	0.6168	1533	2.41403	1201	1329	1461	13741	2.55909	483	591	713	0	0	0	0	0	0	0.0434466	0.956553
"QC_Shew_12_03_pt5_1a_16Jan13_Leopard_12-12-26.mzML"	2013-01-16T12:21:45Z	0.295392	33.3067	41.0366	56.5283	0.424617	0.377764	2.00541	1763.64	0.408091	0.187443	0.191495	0.21297	0.250535	0.251327	0.24956	0.248578	0.256221	0.249108	0.247825	0.246846	1.05186	0.692887	1.42655	0.477041	0.135614	0.175499	225	0.167971	1372	1475	1510	2170	1.29575	817.25	1019.5	1222	0	0	0	0	0	0	0.238249	0.761751
"QC_Shew_12_03_Run-06_17Jan13_Rogue_12-10-04.mzML"	2013-01-18T06:52:23Z	0.225884	46.3945	54.9469	65.0314	0.939997	0.759342	2.38651	5939.19	0.480659	0.162857	0.155307	0.201177	0.221626	0.263078	0.254504	0.260791	0.28218	0.234645	0.235733	0.247441	1.91084	0.998799	2.13985	2.01056	0.39056	0.608452	1523	2.15177	1235	1361	1482	13684	2.55674	487	599	724	0	0	0	0	0	0	0.0448699	0.95513
"QC_Shew_12_03_Run-01_21Jan13_Rogue_12-10-03.mzML"	2013-01-21T22:28:52Z	0.222099	34.1008	42.2588	54.0672	0.74344	0.717897	2.71923	5939.57	0.470078	0.156176	0.153981	0.219765	0.218415	0.262553	0.255958	0.263074	0.279413	0.237366	0.235499	0.247722	1.96406	0.969492	2.12946	1.89725	0.398828	0.394768	1983	2.75068	1287	1425	1514	18046	3.35521	493	611	739	0	0	0	0	0	0	0.0567993	0.943201
"QC_Shew_12_03_pt5_1a_17Jan13_Leopard_12-12-26.mzML"	2013-01-17T13:56:30Z	0.318874	17.8249	19.5804	23.1346	0.610569	0.435613	2.34039	2688.16	0.292733	0.136748	0.13684	0.433678	0.246083	0.235343	0.234096	0.284477	0.243204	0.235435	0.234161	0.2872	1.12076	0.816165	1.43317	1.29366	0.373117	0.281189	1013	0.407216	1416	1508	1538	3020	1.22514	717	1043	1288	0	0	0	0	0	0	0.26755	0.73245
"QC_Shew_12_03_Run-07_16Jan13_Lion_12-10-03.mzML"	2013-01-17T03:58:19Z	0.23722	39.4199	46.6125	57.2754	2.7774	0.721084	2.53786	5941.56	0.477543	0.112129	0.139209	0.271119	0.211589	0.283379	0.247342	0.25769	0.286753	0.239326	0.222778	0.251143	2.47134	1.30444	2.26364	3.42762	1.07444	0.411107	1473	2.10804	1460	1500	1556	13106	2.54601	227	536	723	0	0	0	0	0	0	0.104303	0.895697
"QC_Shew_12_03_pt5_1b_17Jan13_Leopard_12-12-26.mzML"	2013-01-17T15:47:58Z	0.311803	18.173	20.1391	23.8019	0.548781	0.407161	2.46966	2673.89	0.297764	0.140787	0.131665	0.429783	0.250761	0.232134	0.231866	0.285239	0.249972	0.231276	0.231018	0.287734	1.26185	0.868988	1.50746	1.49484	0.370487	0.230763	990	0.405047	1472.25	1513	1539	2957	1.2178	694	1033	1279	0	0	0	0	0	0	0.27697	0.72303
"QC_Shew_12_03_Run-02_21Jan13_Rogue_12-10-04.mzML"	2013-01-22T01:48:51Z	0.220831	37.4165	45.1328	55.7893	0.586821	0.677249	2.72547	5942.71	0.307901	0.167234	0.177516	0.347349	0.198753	0.260124	0.258346	0.282778	0.258725	0.238591	0.236489	0.266195	1.12232	0.808753	2.58641	1.12599	0.247859	0.546789	2002	2.79824	1351	1439	1488	18204	3.32989	473	620	760	0	0	0	0	0	0	0.0478466	0.952153
"QC_Shew_12_03_Run-03_21Jan13_Rogue_12-10-03.mzML"	2013-01-22T03:28:53Z	0.219048	36.0185	44.1275	57.1841	0.741161	0.728841	2.50175	5942.55	0.493288	0.147976	0.144223	0.214513	0.21611	0.267073	0.252881	0.263936	0.290483	0.234444	0.230725	0.244349	2.4904	1.07705	2.18984	3.13026	0.405772	0.381255	1960	2.8	1314	1440	1516	17818	3.35305	394	597	738	0	0	0	0	0	0	0.0514648	0.948535
"QC_Shew_12_03_Run-07_17Jan13_Rogue_12-10-03.mzML"	2013-01-18T08:32:20Z	0.237764	41.0995	48.0709	58.4131	0.712312	0.66909	2.66542	5944.11	0.370014	0.140621	0.161223	0.328143	0.21697	0.252816	0.249472	0.280742	0.276911	0.229507	0.231437	0.262146	1.56632	0.99863	1.92844	1.76722	0.29262	0.415084	1492	2.04839	1363	1459.5	1511.25	13526	2.53326	416	595	741	0	0	0	0	0	0	0.0641727	0.935827
"QC_Shew_12_03_Run-08_16Jan13_Lion_12-10-04.mzML"	2013-01-17T05:38:18Z	0.23973	48.8275	56.5224	66.1724	0.854977	0.682596	2.4366	5940.71	0.491481	0.164832	0.159835	0.183852	0.219357	0.260645	0.256426	0.263572	0.283736	0.235002	0.236884	0.244378	1.67176	0.946179	2.52123	1.82694	0.380379	0.574418	1511	2.17534	1262.5	1359	1457	13753	2.55723	489	596	716	0	0	0	0	0	0	0.039555	0.960445
"QC_Shew_12_03_Run-04_21Jan13_Rogue_12-10-04.mzML"	2013-01-22T05:08:52Z	0.230077	38.0404	45.3687	54.6834	0.681778	0.748549	2.77314	5941.42	0.338888	0.164	0.173427	0.323686	0.2006	0.260563	0.257301	0.281536	0.260951	0.239513	0.236215	0.26332	1.03808	0.749552	2.55322	1.2394	0.231727	0.342143	2008	2.744	1283	1428	1486.25	18333	3.33297	493	624	761	0	0	0	0	0	0	0.0439644	0.956036
"QC_Shew_12_03_Run-05_21Jan13_Rogue_12-10-03.mzML"	2013-01-22T06:48:51Z	0.214467	42.7649	52.1813	63.6913	0.717843	0.773397	2.6769	5942.84	0.455767	0.156323	0.153815	0.234095	0.230261	0.255848	0.250982	0.262909	0.278558	0.237909	0.234716	0.248817	1.44923	0.871791	2.44209	1.84847	0.23133	0.35293	1946	2.227	1282	1392	1487	18124	3.35207	489	607	739	0	0	0	0	0	0	0.0498234	0.950177
"QC_Shew_12_03_pt5_1c_17Jan13_Leopard_12-12-26.mzML"	2013-01-17T17:28:29Z	0.321185	17.3031	19.0268	22.6178	0.526139	0.457194	2.3244	2668.33	0.307496	0.133804	0.128314	0.430386	0.250189	0.231959	0.231156	0.286697	0.250757	0.230694	0.229757	0.288792	1.19981	0.832659	1.61161	1.44673	0.460032	0.252068	984	0.404227	1471	1510	1536	2936	1.21508	708.75	1040	1283	0	0	0	0	0	0	0.281676	0.718324
"QC_Shew_12_03_Run-09_16Jan13_Lion_12-10-03.mzML"	2013-01-17T07:18:19Z	0.237915	42.1847	49.5592	59.9834	0.713216	0.697628	2.5001	5943.13	0.36675	0.146794	0.173531	0.312924	0.215965	0.255151	0.254141	0.274743	0.275328	0.232363	0.233818	0.258491	1.38087	0.918057	1.86039	1.59824	0.257015	0.382881	1513	2.07481	1373	1459	1502	13736	2.54658	449	608	747	0	0	0	0	0	0	0.0350903	0.96491
