Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_11_02_0pt5-05_22Oct11_Jaguar_11-10-09.mzML"	2011-10-22T20:54:53Z	0.304903	16.7542	19.1974	23.721	0.823671	0.766782	5.96928	5971.66	0.611238	0.186121	0.073155	0.129486	0.2462	0.256737	0.25339	0.243673	0.258484	0.253606	0.248776	0.239134	1.23618	1.10742	2.90089	1.43274	0.616902	1.7804	2178	0.416811	988.5	1676	2307	21397	4.1649	383	562	788	0.0345376	0.141422	0.207225	0.0651961	0.0107492	0.00205636	0.00911343	0.5297
"QC_Shew_06_500ng-01_5Jun12_Lynx_12-02-29.mzML"	2012-06-05T06:17:12Z	0.312564	33.2808	37.5602	45.7221	0.806996	1.04155	4.04208	10805.8	0.303222	0.163454	0.171622	0.361701	0.28957	0.213177	0.216539	0.280714	0.296701	0.210464	0.213922	0.278914	1.1117	0.681936	1.48915	0.417065	0.225106	0.723727	3557	1.04926	1414	1602	1753	34940	3.92512	46	61	78	0	0.273326	0.251231	0.0810819	0.019605	0.0033486	0.082427	0.288981
"QC_Shew_11_02_0pt5-06_22Oct11_Jaguar_11-10-10.mzML"	2011-10-22T22:34:55Z	0.332791	18.0513	20.2047	24.4122	1.0838	0.906029	5.22251	5970.22	0.396928	0.120161	0.109489	0.373421	0.269671	0.227563	0.227263	0.275504	0.273392	0.226105	0.226196	0.274307	1.19399	0.984674	1.81571	1.22948	0.616198	0.85397	2471	0.476305	1446.5	1891	2291	24583	4.7933	399	629	844	0.0576821	0.185901	0.202986	0.0473498	0.00671196	0.000650856	0.058333	0.440386
"QC_Shew_11_02_0pt5-01_21Oct11_Jaguar_11-10-09.mzML"	2011-10-21T23:04:13Z	0.324762	16.0349	18.0371	21.964	0.869767	1.07679	4.51756	5969.58	0.41255	0.136782	0.151035	0.299633	0.265023	0.23784	0.238248	0.258889	0.294656	0.228457	0.228195	0.248691	1.44485	0.87765	1.68844	1.09243	0.306127	0.584654	2762	0.576041	1090	1527	1867	26444	5.09504	413	630	817	0.0701104	0.190629	0.153116	0.0352821	0.0055211	0.000642868	0.106187	0.438512
"QC_Shew_11_02_0pt5-02_21Oct11_Jaguar_11-10-10.mzML"	2011-10-22T00:44:11Z	0.323342	18.7858	20.9852	25.0601	0.908343	1.07388	4.53221	5970.77	0.323476	0.12548	0.139096	0.411948	0.24349	0.235611	0.238087	0.282813	0.269534	0.226216	0.23012	0.27413	1.45292	0.870574	1.59423	0.951384	0.394615	0.727258	2695	0.606126	1269.5	1683	1990	25988	4.94597	435	681	890	0.0456364	0.172926	0.17739	0.0414422	0.0074265	0.000885024	0.0779591	0.476335
"QC_Shew_11_02_0pt5-06_21Oct11_Jaguar_11-10-10.mzML"	2011-10-22T07:24:11Z	0.323673	18.6806	20.7787	24.9452	0.947312	1.06399	4.49736	5970.55	0.322427	0.126436	0.135487	0.41565	0.243108	0.235475	0.237924	0.283494	0.269626	0.225949	0.229968	0.274456	1.3964	0.810996	1.9743	0.935206	0.39711	0.719335	2694	0.58731	1262.5	1684	2009.75	25949	4.96453	436	685	893	0.041543	0.168985	0.180932	0.041466	0.00666692	0.000770743	0.0727966	0.48684
"QC_Shew_11_02_0pt5-05_21Oct11_Jaguar_11-10-09.mzML"	2011-10-22T05:44:11Z	0.320843	16.2977	18.4635	22.4092	0.894996	1.11575	4.54627	5970.36	0.384997	0.138649	0.150631	0.325723	0.255117	0.240363	0.240344	0.264176	0.283229	0.232246	0.230552	0.253973	1.21024	0.797407	2.12334	0.610554	0.394146	0.736197	2779	0.564912	1127	1530	1895	26633	5.00935	423	652	843	0.0581234	0.193219	0.161078	0.0362332	0.00642061	0.00112642	0.0929298	0.450869
"QC_Shew_11_02_0pt5-04_21Oct11_Jaguar_11-10-12.mzML"	2011-10-22T04:04:13Z	0.318075	17.634	19.8946	24.1231	0.971526	1.10323	4.533	5970.52	0.320919	0.126158	0.137238	0.415684	0.24073	0.235283	0.238797	0.28519	0.269419	0.22524	0.229976	0.275364	1.42644	0.888319	2.11444	0.91888	0.413761	0.771676	2701	0.602632	1285	1693	2026	25931	4.95304	440	696	899	0.0448112	0.174309	0.176006	0.0401836	0.00686437	0.000848405	0.0763565	0.480622
"QC_Shew_11_02_0pt5-03_21Oct11_Jaguar_11-10-11.mzML"	2011-10-22T02:24:11Z	0.326248	16.3392	18.5153	22.4204	0.864423	1.12346	4.46425	5971.38	0.335232	0.135944	0.155905	0.372919	0.250719	0.23717	0.240573	0.271538	0.272748	0.229475	0.233671	0.264107	1.2589	0.727973	1.86891	0.500407	0.338231	0.804151	2751	0.547641	1222.5	1632	1923.5	26676	4.99683	434	670	867	0.0518818	0.195269	0.181774	0.0404109	0.00727245	0.000787224	0.078685	0.44392
"QC_Shew_11_02_0pt5-03_22Oct11_Jaguar_11-10-11.mzML"	2011-10-22T17:34:53Z	0.331816	16.4418	18.6329	22.5516	1.13077	0.980295	4.7323	5970.1	0.445514	0.127644	0.141076	0.285766	0.283755	0.232186	0.232649	0.25141	0.28713	0.231014	0.231574	0.250282	1.22883	0.804749	2.03567	1.47777	0.404646	0.625129	2847	0.541638	1219	1873	2306	28332	5.44962	392	588	766	0.110935	0.221481	0.165996	0.0378371	0.00624735	0.000741211	0.0960045	0.360758
