Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_ShewAndreySyncCh2.mzML"	2012-12-05T15:40:01Z	0.326255	26.4754	30.2993	38.2057	0.556688	0.789207	6.3014	5998.9	0.19935	0.225328	0.347771	0.227551	0.193615	0.264701	0.273477	0.268207	0.302488	0.231842	0.232486	0.233184	1.33834	0.819778	2.42309	0.264387	0.54813	1.39583	1671	0.47471	3880.5	4780	6014	7111	1.4288	771.5	928	1106	0	0	0	0	0	0	0.0638447	0.936155
"QC_Shew_100ng_r5_29Mar13_Rogue_12-10-04.mzML"	2013-03-31T02:41:33Z	0.261174	25.0409	29.2241	37.059	0.588411	0.723053	4.48909	7739.75	0.407539	0.444396	0.105074	0.0429911	0.250065	0.254606	0.256164	0.239165	0.249931	0.254596	0.256146	0.239327	0.863575	0.91371	5.8681	0.133959	0.187171	3.98738	2760	0.441893	1422	1595	1780	16556	2.67421	93	129	231	0.322058	0.0880043	0.0883668	0.0321334	0.0106306	0.00972457	0.150399	0.298683
"QC_Shew_100ng_r6_29Mar13_Rogue_12-10-03.mzML"	2013-03-31T05:24:36Z	0.318648	22.0555	24.9247	30.4719	0.655176	0.86474	4.74887	7739.69	0.234776	0.202473	0.218718	0.344034	0.237385	0.248349	0.258241	0.256026	0.237225	0.248292	0.258208	0.256276	0.936015	0.821498	2.45222	0.348629	0.290432	1.41747	2880	0.437818	1514.75	1751	1956	17273	2.64233	142	232	349	0.193655	0.256064	0.14705	0.0361257	0.00509466	0.00208418	0.0639727	0.295953
"QC_Shew_021313_3.mzML"	2013-02-13T15:48:56Z	0.25823	16.3667	19.4137	25.636	1.89181	2.20026	5.47377	7199.59	0.33327	0.0542953	0.0802932	0.532142	0.264295	0.210474	0.243994	0.281237	0.277803	0.206747	0.242459	0.272991	2.21255	1.9603	2.91701	2.43107	2.62548	1.09689	2970	0.524931	765.5	1809.5	2690.75	17163	3.07989	124	279	476	0.075453	0.140593	0.137097	0.049933	0.0129348	0.00396201	0.143972	0.436054
"QC_Shew_11_02-5_26Oct11_Cougar_11-07-23.mzML"	2011-10-26T22:15:11Z	0.335577	23.6325	26.7883	33.4237	1.199	0.868293	4.69519	5971.39	0.376479	0.126812	0.1248	0.371908	0.247212	0.229776	0.238974	0.284038	0.257902	0.226368	0.23655	0.279181	1.09307	0.936176	2.51308	0.699029	0.802931	0.758647	1767	0.681172	2267	2734	3170	17233	3.30583	585	800	997	0.340045	0.243951	0.126792	0.0167121	0.00353972	0.000986479	0.0601752	0.207799
"QC_Shew_100ng_r6_29Mar13_Rogue_12-10-04.mzML"	2013-03-31T08:07:40Z	0.326434	20.5542	23.0527	27.4321	0.753729	0.949932	4.53923	7740.23	0.169033	0.202899	0.209721	0.418347	0.239281	0.24484	0.255585	0.260294	0.239177	0.244822	0.255594	0.260407	1.06071	0.808555	3.02532	0.587057	0.292618	2.70695	3028	0.50596	1738	2042	2287	18166	3.0636	134	272	458	0.188759	0.28779	0.158648	0.0384234	0.00484421	0.00187163	0.0477816	0.271882
"QC_Shew_100ng_r4_29Mar13_Rogue_12-10-03.mzML"	2013-03-30T18:32:20Z	0.345811	23.7499	26.3309	31.4195	0.774364	0.992536	4.20494	7740.31	0.27142	0.236818	0.136603	0.35516	0.240113	0.246913	0.250245	0.262729	0.240021	0.246959	0.250274	0.262746	0.964831	0.764679	2.06691	0.450899	0.363497	1.04733	3139	0.455579	1780	2035	2393	18834	2.74921	159	280	481	0.134066	0.29399	0.180684	0.05283	0.00849527	0.00191144	0.0477859	0.280238
"QC_Shew_11_02-6_26Oct11_Cougar_11-09-09.mzML"	2011-10-26T23:55:10Z	0.350335	22.9704	25.5021	31.0729	1.00531	0.87619	4.47609	5971.16	0.394377	0.125727	0.127077	0.352819	0.246406	0.231377	0.238977	0.28324	0.257295	0.227626	0.236277	0.278802	1.02162	0.843737	2.27035	0.844754	0.635653	0.780985	1773	0.666119	2193	2708	3126	17292	3.30665	533	723	927	0.337844	0.259195	0.118841	0.0159611	0.00104094	0.00011566	0.0722299	0.194772
"QC_Shew_11_02-1_26Oct11_Cougar_11-07-23.mzML"	2011-10-26T14:39:44Z	0.333185	24.0024	27.294	33.9618	1.03972	0.89248	4.47091	5972.91	0.36599	0.14073	0.13317	0.360109	0.247511	0.231033	0.243277	0.278178	0.255572	0.228212	0.2418	0.274416	1.20696	0.864574	2.02845	0.669878	0.547219	0.693424	1847	0.56399	2151.5	2686	3305	18032	3.44608	591	801	995	0.372005	0.225488	0.0984361	0.015417	0.00465839	0.00210736	0.0632764	0.218611
"QC_Shew_100ng_r2_29Mar13_Rogue_12-10-03.mzML"	2013-03-30T07:39:57Z	0.343825	23.7686	26.6641	31.9477	0.767495	1.01326	4.65807	7741.67	0.242843	0.157969	0.193055	0.406133	0.238674	0.240802	0.254901	0.265623	0.238629	0.240809	0.25492	0.265643	1.00174	0.854429	2.43772	0.525195	0.249726	1.04586	3177	0.457439	1804	2067	2394	19062	2.7639	156	278	473	0.121393	0.293568	0.181093	0.0518309	0.00891827	0.00194103	0.0512538	0.290001
