Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_11-06_2p5_Old-b_28May12_Polaroid_11-12-27_emptyvial.mzML"	2012-05-29T10:23:47Z	0.256787	19.4317	22.5137	27.3276	0.338146	0.425195	5.29253	1610.74	0.312231	0.283968	0.229441	0.17436	0.24766	0.249408	0.250539	0.252393	0.247541	0.249495	0.250411	0.252553	0.635242	0.62231	1.35636	0.142406	0.172034	0.683998	627	0.394867	1693	1829	1955.5	6262	3.97125	56	329.5	704	0.0459917	0.0220377	0.0629192	0.0129352	0	0	0.00303417	0.853082
"QC_Shew_11-06_2p5L_22May12_Legolas_11-12-27.mzML"	2012-05-23T11:01:37Z	0.22086	9.42717	11.6936	17.4669	1.07945	1.14595	6.55601	2522.26	0.599966	0.00565663	0.00778733	0.38659	0.206841	0.204226	0.210393	0.378541	0.570683	0.133313	0.145507	0.150497	0.991074	1.48338	8.39564	0.204367	1.70296	6.6785	1387	0.711641	1002	1090	2530.5	5139	5.79924	2	5	12	0.58455	0.0437828	0.0151781	0.00214049	0	0	0.238179	0.11617
"QC_Shew_11-06-100min_10ngR2_17May12_Legolas_Aclaim25x15a.mzML"	2012-05-18T02:10:56Z	0.233758	16.3516	18.6613	22.6622	0.754163	0.842249	4.1091	4619.91	0.260291	0.120705	0.209812	0.409192	0.25084	0.252285	0.248894	0.247982	0.250844	0.252283	0.248868	0.248004	0.935345	0.696793	1.77658	0.250077	0.74684	1.00762	2745	0.603362	1549	1750	1895	16470	3.632	120	572	791	0.0818458	0.0993321	0.0442623	0.00085003	0	0	0.0372192	0.736491
"QC_Shew_11-06-100min_1ngR1_17May12_Legolas_Aclaim25x15a.mzML"	2012-05-17T14:40:54Z	0.233864	13.3516	15.4294	18.8201	0.319139	0.367104	3.64472	4620.97	0.278882	0.217338	0.240037	0.263743	0.251044	0.250631	0.248791	0.249534	0.251011	0.250663	0.248827	0.249499	0.754359	0.55338	2.00285	0.115867	0.0980579	0.404203	2763	0.604518	1580	1721	1898	16578	3.63831	57	91	366.75	0.0615876	0.0379419	0.0228013	0.000965135	0	0	0.0102546	0.86645
"QC_Shew_11-06-100min_10ngR1_17May12_Legolas_Aclaim25x15a.mzML"	2012-05-17T16:58:54Z	0.232388	18.1281	20.771	25.2547	0.802158	0.906786	3.66374	4620.84	0.253372	0.103022	0.152844	0.490762	0.251159	0.25329	0.248283	0.247268	0.251275	0.253252	0.248235	0.247239	0.958161	0.793688	2.34996	0.312302	1.07518	0.847305	2733	0.604334	1639	1806	2015	16395	3.63776	88	464	718	0.103324	0.118573	0.0182983	0.000426959	0	6.09942e-05	0.0701433	0.689174
"QC_Shew_11-06-40min_100ngR1_16May12_Legolas_Aclaim25x15a_120516183023.mzML"	2012-05-16T17:30:23Z	0.252141	10.552	12.2635	15.0474	0.940269	1.89291	5.53818	4140.88	0.65116	0.0523347	0.0496651	0.24684	0.262584	0.262928	0.223395	0.251094	0.263511	0.266359	0.220525	0.249605	1.22626	1.82628	3.30916	0.445874	2.47912	1.77012	2611	0.818639	1715	2114	2522	15527	4.92339	71	319	649	0.156566	0.0660784	0.0311715	0.000966059	0	0	0.373478	0.37174
"QC_Shew_11-06-40min_100ng1p6KV_17May12_Legolas_Aclaim25x15a.mzML"	2012-05-17T08:02:33Z	0.236802	9.3934	10.9379	13.2874	2.64747	1.24617	4.85253	4620.62	0.418359	0.0690465	0.0948882	0.417706	0.277833	0.227221	0.22382	0.271127	0.280106	0.226747	0.224032	0.269115	3.72346	2.00298	2.478	2.97966	2.18689	1.43297	3074	0.797418	755	1852	2483.75	18222	4.78444	494	794	1033	0.0884645	0.173472	0.12002	0.00581714	0.000329272	0	0.105696	0.506201
"QC_Shew_11-06-300minFTHCD_T16_AriesPK_R2_11may12_Polaroid_12-04-01.mzML"	2012-05-15T03:07:00Z	0.282247	36.1854	42.3336	53.0836	1.42289	1.2517	4.41568	18015.6	0.227374	0.0878051	0.0951524	0.589668	0.192203	0.183823	0.195282	0.428692	0.240343	0.165354	0.186656	0.407648	1.20397	0.736809	2.07465	2.25917	0.476225	0.71265	2853	0.379918	2445	3082	4597	41818	3.69969	106	156	230	0.173107	0.373858	0.306304	0.11385	0.0249414	0.00793916	0	0
"QC_Shew_11-06-300minFTHCD_T16_AriesPK_R1_11may12_Polaroid_12-04-01.mzML"	2012-05-14T20:23:02Z	0.270982	38.1015	44.1111	56.2547	1.48965	1.24636	4.57069	17998.9	0.226861	0.0936099	0.099219	0.58031	0.193477	0.188191	0.196346	0.421986	0.24268	0.169403	0.186978	0.400939	1.22535	0.692756	2.21159	2.20737	0.407856	0.746949	2929	0.398807	2402	3034	4551	42929	3.71221	106	156	229	0.165785	0.376482	0.311631	0.114608	0.0240397	0.00745417	0	0
"QC_Shew_11-06-50min_100ngR2_16May12_Legolas_Aclaim25x15a.mzML"	2012-05-16T21:39:18Z	0.267359	11.0525	12.848	15.6843	1.64982	3.56559	4.09567	4139.93	0.659133	0.0537827	0.0608067	0.226277	0.275504	0.27675	0.21398	0.233766	0.276341	0.276877	0.213347	0.233434	1.61736	3.29023	2.6793	1.15514	3.90634	1.16154	2703	0.820069	1890	2496	3213.5	16188	4.93305	47	436	796	0.070855	0.143378	0.120583	0.0125402	0.000988386	0	0.105696	0.54596
