Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_11_06_Run-01_20Mar12_Roc_12-02-40.mzML"	2012-03-20T14:10:50Z	0	0	0	0	-nan	-nan	-nan	3541.48	0.462063	0.264649	0.156592	0.116695	0.25001	0.250008	0.250003	0.249979	0	-0	-0	0	0.787596	0.631638	2.87366	0.31953	0.518338	1.28909	4388	1.23903	147	191	296	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-03_20Mar12_Roc_12-02-42.mzML"	2012-03-20T18:34:04Z	0	0	0	0	-nan	-nan	-nan	3540.87	0.0145907	0.0134512	0.466482	0.505476	0.25	0.249996	0.249998	0.250006	0	-0	-0	0	0.766121	0.711676	4.08313	0.893326	0.535564	3.40649	4387	1.23896	62	139	215	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-01_29Mar12_Roc_12-03-15.mzML"	2012-03-29T11:14:04Z	0	0	0	0	-nan	-nan	-nan	3541.21	0.469774	0.15912	0.164813	0.206292	0.249982	0.249998	0.250019	0.250002	0	-0	-0	0	1.32793	0.78571	2.66952	1.22028	0.243319	0.678902	4388	1.23922	851.5	1963	2280	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-02_10Apr12_Jaguar_12-02-27.mzML"	2012-04-09T18:15:17Z	0	0	0	0	-nan	-nan	-nan	3541.48	0.412577	0.160047	0.174556	0.25282	0.250829	0.249707	0.249706	0.249758	0	-0	-0	0	1.56795	0.790216	1.90512	1.30013	0.199994	0.570057	4407	1.24564	1915.5	2521	2908	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-03_10Apr12_Jaguar_12-02-26.mzML"	2012-04-09T19:30:25Z	0	0	0	0	-nan	-nan	-nan	3540.83	0.418329	0.159169	0.17232	0.250182	0.250827	0.249694	0.249694	0.249784	0	-0	-0	0	1.57253	0.799541	3.63446	1.39721	0.21193	0.577242	4406	1.24564	1879	2499.5	2898.75	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-04_25Mar12_Roc_12-03-18.mzML"	2012-03-26T01:12:44Z	0	0	0	0	-nan	-nan	-nan	3541.17	0.20269	0.289788	0.263339	0.244184	0.25	0.250002	0.25	0.249998	0	-0	-0	0	0.727859	0.542503	6.66895	0.13001	0.124487	5.2474	4387	1.23886	30	34	39	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-01_22Mar12_Roc_12-02-40.mzML"	2012-03-22T17:00:37Z	0	0	0	0	-nan	-nan	-nan	3541.2	0.326408	0.175249	0.204951	0.293392	0.250401	0.249783	0.249783	0.250033	0	-0	-0	0	1.13707	0.701208	2.51482	0.323965	0.177765	0.320746	4408	1.24564	2143	2698.5	3019	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-02_22Mar12_Roc_12-02-41.mzML"	2012-03-22T18:56:51Z	0	0	0	0	-nan	-nan	-nan	3541.24	0.310014	0.174114	0.205174	0.310698	0.250331	0.24978	0.24978	0.250109	0	-0	-0	0	1.11981	0.698655	2.03455	0.392557	0.186102	0.357712	4408	1.24564	2157.75	2698.5	3009.25	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-03_28Mar12_Roc_12-03-17.mzML"	2012-03-28T17:09:41Z	0	0	0	0	-nan	-nan	-nan	3541.15	0.289573	0.168451	0.223317	0.318659	0.250293	0.249786	0.249786	0.250135	0	-0	-0	0	1.0273	0.714048	2.01179	0.209038	0.188746	0.531163	4408	1.24564	2155	2645	2963	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
"QC_Shew_11_06_Run-04_10Apr12_Jaguar_12-02-27.mzML"	2012-04-09T22:00:43Z	0	0	0	0	-nan	-nan	-nan	3540.99	0.396972	0.17186	0.171406	0.259761	0.25079	0.249684	0.249684	0.249843	0	-0	-0	0	1.43232	0.822362	3.16137	1.50349	0.188496	0.704116	4406	1.24564	1916.25	2534.5	2907	0	-0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
